Feature,Importance
num__engagement_per_event,0.1274080433999738
num__total_engagement_time,0.11407281905625472
num__unique_pages,0.09235892520118977
num__session_duration_sec,0.08831713289109873
num__total_events,0.08052736813028522
num__pageviews,0.07226107292220627
num__item_view_rate,0.05902616070411947
num__item_views,0.05721989014078612
num__begin_checkout,0.04149134444624006
num__add_to_cart,0.038699131890720904
num__checkout_ratio,0.03834247013606729
num__searches,0.029761964297109075
cat__country_United States,0.007496309631260809
cat__acquisition_channel_Google,0.007261664870255251
cat__operating_system_Web,0.0065343604501541695
cat__acquisition_channel_Other,0.0062107905496179
cat__device_category_mobile,0.005926523946726321
cat__device_category_desktop,0.005492721720130264
cat__country_India,0.005431969829027689
cat__operating_system_Windows,0.005394713811574631
cat__country_Canada,0.005384126892852974
cat__operating_system_iOS,0.005297660267934617
cat__acquisition_channel_Direct,0.005041696277557917
cat__operating_system_Macintosh,0.004921952440735936
cat__operating_system_Android,0.004243385670420044
cat__country_United Kingdom,0.003685101340824194
cat__country_Germany,0.0033692290079360295
cat__acquisition_channel_Unknown,0.0032562048484388955
cat__country_Spain,0.0030007435209682604
cat__country_Taiwan,0.0028998425475879074
cat__operating_system_<Other>,0.0028833741420206597
cat__country_France,0.0028434085288522783
cat__country_China,0.0027596028707710884
cat__country_South Korea,0.0026568093062372994
cat__device_category_tablet,0.002655344526569954
cat__country_Australia,0.002299110008863449
cat__country_Poland,0.002237321505956001
cat__country_Japan,0.0021942228315911744
cat__country_Italy,0.0021918845844349673
cat__country_Singapore,0.002156856734861529
cat__country_Netherlands,0.0020087087524261497
cat__country_Turkey,0.0017969608496394669
cat__country_Mexico,0.0016592894138249157
cat__country_Brazil,0.0016326534333263598
cat__country_Indonesia,0.0015565265940171594
cat__country_(not set),0.0015152366653995112
cat__country_Philippines,0.0014030551802814316
cat__country_Sweden,0.0012943825994831226
cat__country_Colombia,0.0011389130287493977
cat__country_Switzerland,0.0011269239066560687
cat__country_Hong Kong,0.0010577829613319003
cat__country_Russia,0.0010469308651457052
cat__country_Croatia,0.001044301815003839
cat__country_Pakistan,0.0010297013031134983
cat__country_Ireland,0.0009838174581032473
cat__country_Czechia,0.0009786602754463954
cat__country_Ukraine,0.0009107106511577001
cat__country_Peru,0.0008881262618514481
cat__country_Austria,0.0008624671710783472
cat__country_Denmark,0.0008456855673240378
cat__country_Portugal,0.0008270944681968268
cat__country_Malaysia,0.0008225276099396859
cat__country_Thailand,0.000772411361311057
cat__country_Egypt,0.0007511465101979417
cat__country_Greece,0.0007474773613998187
cat__country_Israel,0.0007436126541350689
cat__country_Finland,0.0007071638256027552
cat__country_Vietnam,0.0006955319343908626
cat__country_Belgium,0.0006873681169977558
cat__country_Bangladesh,0.000667824348467474
cat__country_Argentina,0.0006413267339972303
cat__country_Guatemala,0.0006305578707699173
cat__country_Chile,0.0006201736954265514
cat__country_Saudi Arabia,0.0006132330069254028
cat__country_Slovakia,0.0005144138186238152
cat__country_Romania,0.00047045791880379924
cat__country_Sri Lanka,0.00041580479072211504
cat__country_Algeria,0.000399993229166791
cat__country_South Africa,0.00039175494648525315
cat__acquisition_channel_Referral,0.00039050354256574076
cat__country_Slovenia,0.0003899457586431527
cat__country_Nigeria,0.00037569035076497233
cat__country_Lithuania,0.00033988133296586955
cat__country_Hungary,0.0003315421714592141
cat__country_United Arab Emirates,0.00032730202137785073
cat__country_North Macedonia,0.00027016682593959863
cat__country_Norway,0.00026494430621242686
cat__country_Luxembourg,0.00025314797781480483
cat__country_Bulgaria,0.0002524146056639472
cat__country_New Zealand,0.0002383569084421904
cat__country_Kuwait,0.00023792352966705083
cat__country_Dominican Republic,0.00023236843544806508
cat__country_Kazakhstan,0.00022154152189822127
cat__country_Ecuador,0.00021300495460859409
cat__country_Georgia,0.00021270954256258234
cat__country_Morocco,0.00020890696787492465
cat__country_Uruguay,0.0001884862087008219
cat__country_Belarus,0.00018822487671313652
cat__country_Qatar,0.00018695395967426777
cat__country_Cambodia,0.00017890734278391422
cat__country_Armenia,0.00017348816365635015
cat__country_Iraq,0.00017207330096005925
cat__country_Costa Rica,0.0001571767617194878
cat__country_Kenya,0.00015001549985485093
cat__country_Puerto Rico,0.000121681175425789
cat__country_Tunisia,0.00011988789118835593
cat__country_Latvia,0.00011944112267836859
cat__country_Macao,0.00011937860243807731
cat__country_Iceland,0.00011387967815545375
cat__country_Mongolia,0.00010919055643783681
cat__country_Serbia,0.00010831748126904081
cat__country_El Salvador,9.122166489682077e-05
cat__country_Malta,9.008308545162745e-05
cat__country_Bahrain,8.882018101300838e-05
cat__country_Venezuela,7.506602952557331e-05
cat__country_Albania,6.770909097473373e-05
cat__country_Azerbaijan,6.739763147949964e-05
cat__country_Jordan,6.502628267980503e-05
cat__country_Ghana,5.739355489869831e-05
cat__country_Honduras,5.192036868871711e-05
cat__country_Palestine,4.5983939191750694e-05
cat__country_Bahamas,3.736945523798466e-05
cat__country_Jamaica,3.408410103201311e-05
cat__acquisition_channel_Partner,2.804924997436293e-05
cat__country_Lebanon,2.634140838417516e-05
cat__acquisition_channel_Newsletter,2.1226689091667435e-05
cat__country_Bosnia & Herzegovina,1.574675443775871e-05
cat__country_Cyprus,1.3920680002673614e-05
cat__country_Panama,1.3696889371271826e-05
cat__country_Myanmar (Burma),1.2616350291023255e-05
cat__acquisition_channel_YouTube,5.942055173520051e-06
cat__country_Trinidad & Tobago,4.062543991457136e-06
cat__country_Bolivia,3.140988700607493e-06
cat__country_Paraguay,1.4981781578597465e-06
cat__country_Estonia,2.646166548883744e-07
cat__country_Nepal,0.0
